radius_um,kappa,loss_db_per_cm,resonance_nm,analytic_fsr_nm,fwhm_nm,q_loaded,extinction_ratio_db,baseline_transmission,min_transmission
5.0,0.6,0.5,1543.2241599286697,19.11848753891393,1.3420813707365846,1149.8737659115932,0.014070175443673075,0.9999819509404834,0.9967474741141352
5.0,0.6,2.0,1543.2241614355419,19.11848753891393,1.3452867467181013,1147.1339959308448,0.056281153259263965,0.999927701793968,0.9870530272866541
5.0,0.6,5.0,1543.22416442297,19.11848753891393,1.3516954646565584,1141.695156027675,0.14070684474117034,0.9998187393906626,0.967944792999409
7.5,0.05,0.5,1549.5670607395086,12.745658359275954,0.006174783728693052,250950.8233525595,3.825876042013877,0.9999998866946527,0.4143929389050707
7.5,0.05,2.0,1549.5670607478396,12.745658359275954,0.00947458547979031,163549.85281974936,22.9436586031242,0.9999995468472943,0.0050773130677999045
7.5,0.05,5.0,1549.5670607750421,12.745658359275954,0.01607418879582739,96400.94940139596,8.669563380625739,0.9999988670832007,0.13584484729265212
7.5,0.1,0.5,1549.5670608077653,12.745658359275954,0.02147599955294732,72153.4314147956,0.9386699907945679,0.9999995451069127,0.8056247563718276
7.5,0.1,2.0,1549.567060832386,12.745658359275954,0.024775801138978405,62543.57032251673,3.811013643666865,0.9999981803945737,0.41581279163540696
7.5,0.1,5.0,1549.5670608921616,12.745658359275954,0.03137540421892905,49387.95529388892,10.490761577340706,0.9999954508216409,0.0893144784625356
7.5,0.15,0.5,1549.5670610932573,12.745658359275954,0.04723748132407532,32803.761285712244,0.4142272450779794,0.9999989698251309,0.9090270946635599
7.5,0.15,2.0,1549.5670611452588,12.745658359275954,0.05053728260368406,30661.859548267417,1.6616441747534025,0.9999958792356816,0.6820776089916242
7.5,0.15,5.0,1549.567061259726,12.745658359275954,0.05713688509969543,27120.257930686283,4.222738932493815,0.9999896977999077,0.37820009407651844
7.5,0.25,0.5,1549.5670635398642,12.745658359275954,0.13194523203781464,11744.017116857762,0.14603677988946698,0.9999970637259911,0.9669300265537588
7.5,0.25,2.0,1549.5670636819918,12.745658359275954,0.13524500794793087,11457.480665597453,0.5843536770187482,0.9999882512598371,0.8740967990626328
7.5,0.25,5.0,1549.5670639767782,12.745658359275954,0.1418445516113262,10924.403132682935,1.4637881036623406,0.9999706092250091,0.7138524020097141
7.5,0.4,0.5,1549.5670809993105,12.745658359275954,0.35455553742658147,4370.449527445845,0.054055086937072255,0.9999917433553854,0.9876223408453495
7.5,0.4,2.0,1549.5670813781578,12.745658359275954,0.35785394934063003,4330.166215109095,0.21623091013666834,0.9999669449301128,0.9513986988046136
7.5,0.4,5.0,1549.5670821463618,12.745658359275954,0.3644506088374229,4251.7889792786855,0.5407244753691334,0.9999172174347448,0.8828595088764861
7.5,0.6,0.5,1549.5671921120695,12.745658359275954,0.9015377852826069,1718.8044887395636,0.021103295661286256,0.9999713474801011,0.9951240598488681
7.5,0.6,2.0,1549.5671930533942,12.745658359275954,0.9047431925303407,1712.714951432397,0.08441453926573887,0.9998850470414415,0.9806377775820423
7.5,0.6,5.0,1549.5671949476666,12.745658359275954,0.9111468117078447,1700.677843610266,0.2110490587054536,0.9997108531215614,0.9522906079362544
10.0,0.05,0.5,1552.7582540121994,9.559243769456964,0.004926299354651206,315197.70566645527,5.167468005354725,0.9999998488272269,0.30426579590668845
10.0,0.05,2.0,1552.7582540192232,9.559243769456964,0.008239706298006395,188448.25262702804,22.81264614245131,0.9999993952917413,0.005232811892457723
10.0,0.05,5.0,1552.7582540438757,9.559243769456964,0.014866520062011513,104446.65244905873,6.270003224753726,0.9999984881198497,0.2360472911704904
10.0,0.1,0.5,1552.7582540518583,9.559243769456964,0.016449526936433558,94395.31361918386,1.2525092113348777,0.9999993929558922,0.7494606151916683
10.0,0.1,2.0,1552.7582540711755,9.559243769456964,0.019762933711127154,78569.21835430354,5.146864766354625,0.9999975717367514,0.30571198769581875
10.0,0.1,5.0,1552.7582541204129,9.559243769456964,0.02638974697806971,58839.45213308711,15.758593247576453,0.9999939289024206,0.026554494507791904
10.0,0.15,0.5,1552.7582542151908,9.559243769456964,0.035850299235508754,43312.28155209443,0.5523844387531445,0.999998625168712,0.8805640664418802
10.0,0.15,2.0,1552.7582542551909,9.559243769456964,0.039163705366603185,39647.88928218483,2.2208131674280285,0.9999945004979677,0.5996754847207497
10.0,0.15,5.0,1552.758254345773,9.559243769456964,0.04579051717594737,33910.03967872629,5.720126388302869,0.9999862503635041,0.26790535203260724
10.0,0.25,0.5,1552.7582556055547,9.559243769456964,0.0996430526918408,15583.206391795955,0.19471927482365523,0.9999960848379387,0.9561507547379431
10.0,0.25,2.0,1552.758255713546,9.559243769456964,0.10295643310825522,15081.702122303257,0.77936698553668,0.9999843328641824,0.8357117286549115
10.0,0.25,5.0,1552.7582559401292,9.559243769456964,0.10958318218029098,14169.676633276302,1.955327366000843,0.9999607976112572,0.6374560358852677
10.0,0.4,0.5,1552.7582655023275,9.559243769456964,0.2672890503642686,5809.284979636043,0.07207363393839958,0.9999889902328258,0.9835305517363745
10.0,0.4,2.0,1552.758265788963,9.559243769456964,0.2706010495748464,5738.182716691499,0.2883195244993655,0.9999559103138291,0.9357264358905228
10.0,0.4,5.0,1552.7582663728185,9.559243769456964,0.2772248057579527,5601.079824467601,0.721147666998993,0.9998895136133389,0.8469099729633467
10.0,0.6,0.5,1552.7583284342008,9.559243769456964,0.6792090951085127,2286.127114045973,0.02813776466899945,0.9999617831386409,0.9935040134012978
10.0,0.6,2.0,1552.758329145432,9.559243769456964,0.6824273963852977,2275.345827805463,0.11255386376048024,0.9998465236106391,0.97426691479268
