wavelength_um,through_transmission,drop_transmission_total
1.3963963963963966,0.1400196219110971,0.8102761920965377
1.3973195504537532,0.11701202104362537,0.835046445096794
1.3982439259081068,0.10444686397646041,0.8498299581798181
1.3991695251850516,0.10331930915801672,0.8535267822951038
1.4000963507166087,0.11349258224689973,0.8458445910293214
1.4010244049412475,0.13381444569995982,0.8276373307342554
1.4019536903039076,0.16249691214204035,0.8008420644862443
1.402884209256019,0.19742549638434187,0.7679394686342199
1.4038159642555248,0.23634043769731844,0.7312723712042482
1.4047489577669023,0.27706155342333977,0.692693759919103
1.4056831922611852,0.31778002123204646,0.653705525313237
1.4066186702159842,0.3572060630304862,0.6157542616350975
1.4075553941155103,0.3944570010769507,0.5802091243140662
1.408493366450597,0.4288743777863076,0.5479825604954414
1.4094325897187199,0.46000172695090114,0.5192920207370066
1.410373066424022,0.48765821270936227,0.4939880933878453
1.411314799077334,0.5118739116176317,0.47216323163012486
1.4122577901961975,0.5327136291340016,0.4542495451547961
1.413202042304887,0.5503252224523972,0.44026244318880525
1.4141475579344323,0.5653404315195891,0.4288829699342179
1.4150943396226416,0.5791693843076595,0.41750384164372395
1.4160423899141241,0.5935695603278875,0.40356120353066344
1.416991711360312,0.6095521163795797,0.3861895933222706
1.4179423065194854,0.6265410361019668,0.3668215236486258
1.4188941779567923,0.6426662479914226,0.34825205714820695
1.419847328244275,0.6560350868095063,0.3329833032367636
1.4208017599608898,0.6658710361075268,0.3221146330411273
1.4217574756925335,0.6725899133353687,0.3153730529045716
1.4227144780320649,0.6769827088930432,0.3118887724300508
1.4236727695793279,0.6794642786204711,0.31092401950198745
1.4246323529411766,0.6800374039864036,0.31210857420823673
1.425593230731498,0.6787167059360729,0.3152894474673381
1.426555405571236,0.6757454163721428,0.32033725384211115
1.4275188800884142,0.6713765410439447,0.32710703042236733
1.4284836569181618,0.6655961576007159,0.335509572716537
1.429449738702736,0.6581797499978785,0.34555888821763403
1.4304171280915468,0.6489793200067256,0.3573378298582144
1.4313858277411808,0.638043687324784,0.37093094481324956
1.4323558403154264,0.6254343564933253,0.38639743491097683
1.433327168485297,0.6110144365187258,0.40379819770630243
1.4342998149290562,0.594499220040465,0.42322991807281535
1.4352737823322428,0.5756863553185972,0.4448210180244643
1.4362490733876947,0.5545521302305387,0.4686946774630478
1.437225690795574,0.5311038991242497,0.4949375416797923
1.4382036372633924,0.5052164967147064,0.5235944176100833
1.4391829155060354,0.4766948161911264,0.5546714860629582
1.4401635282457879,0.4454959397491566,0.588121607666629
1.4411454782123598,0.41184188357295565,0.6238065618220806
1.4421287681429105,0.3761221231755755,0.6614476638009085
1.4431134007820743,0.33877937731389085,0.7005743856781944
1.4440993788819878,0.3003897418956004,0.7404796229706538
1.4450867052023122,0.2618719784595483,0.7801981562602601
1.4460753825102626,0.22456719462524655,0.8185215242561933
1.4470654135806311,0.19007334494344297,0.8540430764669106
1.4480568011958148,0.15999674106723102,0.8852250649922763
1.4490495481458399,0.13582389969208786,0.9105119177222046
1.4500436572283897,0.11888592338699332,0.9285284753110828
1.45103913124883,0.11022309200503827,0.9383394736611936
1.452035973020235,0.11030211114413792,0.9396506434664031
1.4530341853634148,0.11880069019589132,0.9328305508110148
1.4540337711069418,0.13468254065663884,0.9187672349045218
1.4550347330871771,0.15649958541772502,0.898701613164529
1.4560370741482966,0.18264266825025563,0.8741276173825295
1.45704079714232,0.2114114325198525,0.8466617259074902
1.458045904929136,0.24110047706048104,0.8177198773121545
1.4590524003765297,0.2703470053976455,0.7880546345722517
1.460060286360211,0.2986256769965171,0.7575031144180273
1.4610695657638408,0.32642189397235344,0.7252960520399457
1.4620802414790592,0.35474956000675956,0.6908656400984887
1.4630923164055127,0.38425350505842004,0.6546150240546352
1.4641057934508817,0.41456958551101214,0.6180609235169642
1.4651206755309094,0.44443148650892444,0.5832314767479723
1.4661369655694287,0.4723774007244829,0.5517778365018868
1.467154666498391,0.4974477501240625,0.5244248726336599
1.4681737812578934,0.5193894675516596,0.5010364538136853
1.4691943127962086,0.5383905441404315,0.48107262836012993
1.4702162640698118,0.5547239158033379,0.46401073638657137
1.4712396380434096,0.5685995396855048,0.449487824923171
1.4722644376899696,0.5802095954454782,0.437232241761545
1.4732906659907485,0.5897787545393525,0.4269847417648766
1.4743183259353203,0.5975222786368023,0.41851060990542255
1.4753474205216068,0.603579432069287,0.41165142614879796
1.4763779527559056,0.6080157711243127,0.4063297295386903
1.47740992565292,0.6108834491394634,0.40249961562674014
1.4784433422357879,0.6122562788134385,0.40010646245725756
1.479478205536112,0.6122022278413207,0.39909834828523166
1.480514518593989,0.6107413673135088,0.3994626473371987
1.4815522844580387,0.6078476972911221,0.40123551613965425
1.4825915061854356,0.6034878758348655,0.40447422901573554
1.4836321868419373,0.597643315002751,0.4092311519911976
1.4846743295019158,0.5902905769672337,0.4155619939143144
1.4857179372483866,0.5813716206608015,0.4235536539243057
1.48676301317304,0.5707945385679553,0.43333255151725036
1.4878095603762718,0.5584619119829906,0.4450419210788626
1.4888575819672132,0.5442898593436893,0.4588164005302024
1.4899070810637618,0.528198203979107,0.47478180173580975
1.4909580607926125,0.5100927029463552,0.49307052377532307
1.4920105242892896,0.4898701402217272,0.5138199178291974
1.4930644746981763,0.46744763410104584,0.5371415357631442
1.4941199151725468,0.442790347685613,0.5630840124715546
1.495176848874598,0.41592060446124257,0.5916148296337792
1.4962352789754811,0.38692097787682755,0.6226150860295302
1.4972952086553324,0.3559547832889673,0.6558599675181337
1.498356641103306,0.323307279487299,0.6909745325694475
1.499419579517606,0.2894264991420791,0.7273869420500354
1.500484027105518,0.2549426469378771,0.7643079409994895
1.501549987083441,0.22066523939312832,0.8007413573425635
1.502617462676921,0.18756943877944823,0.8355110053604674
1.5036864571206832,0.15677200307390768,0.8673006352478007
1.504756973658663,0.1294787663349027,0.8947270381744195
1.5058290155440415,0.10688702110450658,0.9164642943635604
1.5069025860392766,0.09005417135880887,0.9314024580067283
1.507977688416137,0.07977497901843293,0.9387909994815745
1.5090543259557345,0.07651241773471144,0.9383210237692574
1.510132501948558,0.08039390772942336,0.9301364239038641
1.5112122196945077,0.09124155468275633,0.914796570732617
1.512293482502927,0.10859048973565312,0.8932151691638581
1.5133762936926383,0.13167921965282547,0.8665800423579665
1.514460656591975,0.15944496367130692,0.8362457038960279
1.5155465745388175,0.1905785590694972,0.803600641142626
1.5166340508806264,0.22366234467603877,0.7699330192809936
1.5177230889744762,0.25735358737365005,0.7363288137146689
1.5188136921870916,0.29053837655135684,0.7036243728103995
1.5199058638948815,0.3223994454474251,0.6724111799858431
1.5209996074839724,0.3523976937282155,0.6430728008786132
1.5220949263502455,0.38021127052045334,0.6158321902448131
1.523191823899371,0.4056763086381595,0.5907963231725604
1.5242903035468434,0.42874356613346565,0.567993455003458
1.5253903687180161,0.4494423727395515,0.547401413807667
1.5264920228481387,0.4678455567479535,0.5289664604697535
1.5275952693823918,0.4840418432651226,0.5126149309645335
1.5287001117759222,0.49812329824980967,0.49826217877496565
1.5298065534938807,0.5101834671195313,0.48582163080363366
1.5309145980114571,0.520314272010124,0.47521243927326434
1.5320242488139169,0.5285967934357151,0.4663628083799391
1.533135509396637,0.5350927216319071,0.4592096146527554
1.5342483832651446,0.5398440326113124,0.4536985569672824
1.5353628739351515,0.5428783579929797,0.4497874920001849
1.5364789849325933,0.5442110046314657,0.4474506613419309
1.5375967197936644,0.5438403312901804,0.44667983488247004
1.5387160820648578,0.5417429659323945,0.4474822297658152
1.5398370753030002,0.5378759878029236,0.4498790703175063
1.5409597030752917,0.5321844413442324,0.4539072786989044
1.542083968959342,0.5246066222382222,0.45962190437613226
1.5432098765432098,0.5150741773776252,0.46709510114662517
1.5443374294254402,0.5035123555110421,0.47641098195973147
1.5454666312151024,0.4898463184322453,0.48765962818919323
1.54659748553183,0.47401180081870886,0.5009328083738938
1.547729996005858,0.45596314250154363,0.5163199859099248
1.548864166278063,0.4356757746252821,0.5339014464520571
1.55,0.41314797005484455,0.553737872844789
1.551137500833945,0.3884080283244202,0.5758587514828016
1.552276672452931,0.3615271079197853,0.6002515509555987
1.55341751854079,0.33263327216347605,0.6268504024320443
1.5545600427921904,0.3019249029680495,0.6555211359928784
1.5557042489126798,0.26968687797591834,0.6860412540059138
1.5568501406187225,0.2363125258621737,0.7180769781360101
1.5579977216377405,0.20232773878666094,0.7511617477543642
1.5591469957081545,0.1684081512468722,0.7846805091391621
1.5602979665794243,0.13538124077480762,0.817863557010487
