wavelength_um,through_transmission,drop_transmission
1.3963963963963966,1.003917899085303,0.037809676545927304
1.3973195504537532,1.0056856523332665,0.03768099070028508
1.3982439259081068,1.0050129013150686,0.03710938556748834
1.3991695251850516,1.0061348056106239,0.0357696643580895
1.4000963507166087,1.0049803292445383,0.03416344700950911
1.4010244049412475,1.005515869329081,0.03209151064472759
1.4019536903039076,1.0040405558301215,0.029989580266320186
1.402884209256019,1.004162206365761,0.027714728041991283
1.4038159642555248,1.0025575864386091,0.025569925162307425
1.4047489577669023,1.0023907271204426,0.023436816456055925
1.4056831922611852,1.0007633643716969,0.021494685650212838
1.4066186702159842,1.000352294805871,0.019649407847202396
1.4075553941155103,0.9987203030128471,0.017993719182504742
1.408493366450597,0.9980467094985338,0.016462096025806845
1.4094325897187199,0.9963585776832173,0.01509335477585179
1.410373066424022,0.995345490993007,0.013848893708927458
1.411314799077334,0.9934751044955695,0.012735189281264762
1.4122577901961975,0.9919637995083651,0.01173524671828566
1.413202042304887,0.9896694819441718,0.010835982563629377
1.4141475579344323,0.9873449267645757,0.010035949320141643
1.4150943396226416,0.984151685194992,0.009309760684265422
1.4160423899141241,0.9803509408574269,0.008665942374472484
1.416991711360312,0.9752398204204854,0.008069627061520557
1.4179423065194854,0.9684265289150288,0.007533451233846941
1.4188941779567923,0.9589216709948605,0.007011479857794403
1.419847328244275,0.9450533309033465,0.006509381622038126
1.4208017599608898,0.9242320890235939,0.005956917055389356
1.4217574756925335,0.8913176931409884,0.005325595480565092
1.4227144780320649,0.8388488483247385,0.0044977456319090165
1.4236727695793279,0.7589301758316233,0.0034590387777470627
1.4246323529411766,0.6677922163739239,0.0024501629262229816
1.425593230731498,0.6364686325126602,0.0021027526388903
1.426555405571236,0.6999948838400941,0.002471827021784646
1.4275188800884142,0.7874616581094107,0.0030916826113973
1.4284836569181618,0.8533147704929199,0.0036583010076535576
1.429449738702736,0.8956273153739178,0.004097770472317831
1.4304171280915468,0.9229129853692497,0.00443012104825896
1.4313858277411808,0.9405369505793819,0.0047026096190113465
1.4323558403154264,0.9528552108983654,0.0049326227134624985
1.433327168485297,0.9612330563777075,0.0051542964280630954
1.4342998149290562,0.967676460057189,0.005364043888509072
1.4352737823322428,0.9721830326364853,0.005588577864233701
1.4362490733876947,0.9759923977631934,0.005814362990421845
1.437225690795574,0.978669204030963,0.006066239481635705
1.4382036372633924,0.9811592953429611,0.006325707937856887
1.4391829155060354,0.982896335296085,0.006617382821764368
1.4401635282457879,0.9846762264616926,0.006919615769591875
1.4411454782123598,0.9859144803929951,0.0072567159057261126
1.4421287681429105,0.9873032684835321,0.007604273089188313
1.4431134007820743,0.9882888807537488,0.007985172943101781
1.4440993788819878,0.9894743585978212,0.008371737309096934
1.4450867052023122,0.9903595265535408,0.008783450683397195
1.4460753825102626,0.9914618002373959,0.009188312468419349
1.4470654135806311,0.9923430783785189,0.009599780197901276
1.4480568011958148,0.9934340430800143,0.009980690289845233
1.4490495481458399,0.9943572857793225,0.010336364325074917
1.4500436572283897,0.9954540607837576,0.010625675934791188
1.45103913124883,0.9964004948535055,0.010846596530618853
1.452035973020235,0.9974494988155475,0.010959842881630426
1.4530341853634148,0.9983274048963159,0.010962032120709226
1.4540337711069418,0.9992122252977289,0.010826649668874797
1.4550347330871771,0.999890970515982,0.010558817560584998
1.4560370741482966,1.000491993800289,0.010155689787760927
1.45704079714232,1.0008802938810926,0.009637020182048286
1.458045904929136,1.0011511989740312,0.009024445345955916
1.4590524003765297,1.0012510770176863,0.008346468698266428
1.460060286360211,1.0012352871831816,0.007636272552454323
1.4610695657638408,1.0011192810930645,0.006917224645562829
1.4620802414790592,1.0009017214182008,0.006218820439770162
1.4630923164055127,1.000655409819519,0.005550775335976024
1.4641057934508817,1.0003127613157792,0.004932683787251233
1.4651206755309094,0.9999996523654092,0.004361739334800343
1.4661369655694287,0.9995814468691148,0.0038492571699070333
1.467154666498391,0.9992366151372463,0.003385204739679227
1.4681737812578934,0.9987669935185375,0.0029762190184171155
1.4691943127962086,0.9984031428255267,0.0026096956582179415
1.4702162640698118,0.9978879496222988,0.0022901684906788664
1.4712396380434096,0.9975022619770025,0.0020052090092083008
1.4722644376899696,0.9969344947648642,0.001758499447909085
1.4732906659907485,0.9965127835290699,0.0015390479639702736
1.4743183259353203,0.9958749616981387,0.001350102775092975
