score,radius_um,kappa1,kappa2,peak_nm,detuning_nm,drop_peak,through_at_peak,through_baseline,er_db,q_loaded,analytic_fsr_nm,convergence
7.101929416988409,7.5910011850061325,0.31958255489702914,0.3195216249172292,1548.13125,1.868750000000091,0.9798811389987034,0.000113098858804543,0.9969733305243961,39.45225318089579,3564.762438345146,12.592862965610566,0.019480234753124246
7.298667176127356,4.4225819295365465,0.3777608749112324,0.37689960999628913,1550.56875,0.568749999999909,0.991672127779556,2.8751638996742512e-05,0.9938784680898145,45.3867067508489,1465.8814202471613,21.61462223144999,0.030043945882933066
7.364003393552014,8.529520078642749,0.2239045497825827,0.21768909129588487,1549.8,0.20000000000004547,0.9513511909100325,0.00027501703597188683,0.9993279078722512,35.60348418865609,8481.084587552212,11.20724692751772,0.033910584953812446
7.566907277165285,6.163391759938131,0.2876074835214209,0.282800724686347,1549.41875,0.5812499999999545,0.9789552059445064,8.766256210363447e-05,0.9981113191026735,40.56364821163857,3667.33450951317,15.509713063498205,0.03374311960493099
7.566907277165285,6.163391759938131,0.2876074835214209,0.282800724686347,1549.41875,0.5812499999999545,0.9789552059445064,8.766256210363447e-05,0.9981113191026735,40.56364821163857,3667.33450951317,15.509713063498205,0.056423612466309656
7.566907277165285,6.163391759938131,0.2876074835214209,0.282800724686347,1549.41875,0.5812499999999545,0.9789552059445064,8.766256210363447e-05,0.9981113191026735,40.56364821163857,3667.33450951317,15.509713063498205,0.0885902605709724
7.566907277165285,6.163391759938131,0.2876074835214209,0.282800724686347,1549.41875,0.5812499999999545,0.9789552059445064,8.766256210363447e-05,0.9981113191026735,40.56364821163857,3667.33450951317,15.509713063498205,0.10320321498649955
7.566907277165285,6.163391759938131,0.2876074835214209,0.282800724686347,1549.41875,0.5812499999999545,0.9789552059445064,8.766256210363447e-05,0.9981113191026735,40.56364821163857,3667.33450951317,15.509713063498205,0.13378738970330525
7.5935296811202715,6.163391759938131,0.3682134970949955,0.3673141369206266,1549.41875,0.5812499999999545,0.9877981971325946,2.537563495639156e-05,0.9945211527049165,45.93197106572536,2155.73428868998,15.509713063498205,0.17292083341246528
7.5935296811202715,6.163391759938131,0.3682134970949955,0.3673141369206266,1549.41875,0.5812499999999545,0.9877981971325946,2.537563495639156e-05,0.9945211527049165,45.93197106572536,2155.73428868998,15.509713063498205,0.19607321760087576
