wavelength_um,through_transmission
1.4220183486238531,0.9837617322458068
1.4234875444839858,0.9836464345721322
1.4249597793610664,0.9835303542804973
1.4264350626941218,0.9834134547274798
1.4279134039613082,0.983295693098888
1.4293948126801153,0.9831770207433035
1.4308792984075698,0.9830573840790534
1.4323668707404413,0.9829367256055455
1.4338575393154487,0.9828149846405125
1.4353513138094685,0.9826920975720471
1.436848203939745,0.9825679976072333
1.438348219464099,0.9824426141724731
1.4398513701811424,0.982315872237166
1.4413576659304892,0.9821876918727686
1.4428671165929718,0.9820579883247906
1.444379732090856,0.9819266727803867
1.4458955223880596,0.9817936538873273
1.44741449749037,0.9816588399521925
1.4489366674456647,0.981522141643496
1.4504620423441337,0.9813834749695551
1.4519906323185012,0.9812427642971043
1.4535224475442503,0.9810999452198704
1.4550574982398499,0.9809549671612854
1.4565957946669799,0.9808077956800595
1.458137347130762,0.9806584145199845
1.4596821659799883,0.9805068274873237
1.4612302616073534,0.9803530602406186
1.4627816444496875,0.980197162037687
1.4643363249881909,0.9800392074119939
1.4658943137486702,0.9798792976616912
1.4674556213017753,0.979717561949207
1.4690202582632388,0.9795541577477247
1.4705882352941175,0.97938927034879
1.4721595631010327,0.9792231111719396
1.4737342524364154,0.9790559146929239
1.4753123140987507,0.9788879339239736
1.476893758932825,0.9787194345224817
1.4784785978299748,0.9785506877539507
1.480066841728336,0.9783819626705409
1.4816585016130959,0.978213517969236
1.4832535885167464,0.9780455940497705
1.484852113519339,0.9778784057948207
1.4864540877487413,0.977712136543492
1.4880595223808952,0.9775469336310809
1.489668428640077,0.977382905735743
1.491280817799158,0.9772201221222939
1.49289670117987,0.977058613721724
1.4945160901530674,0.9768983758482174
1.4961389961389961,0.9767393722462087
1.4977654306075612,0.976581540086806
1.4993954050785971,0.9764247954994281
1.50102893112214,0.9762690392296017
1.5026660203587008,0.9761141620526513
1.5043066844595414,0.975960049637534
1.5059509351469516,0.9758065866360683
1.5075987841945289,0.9756536598605867
1.5092502434274586,0.9755011604989811
1.5109053247227975,0.9753489853929046
1.5125640400097584,0.9751970374677288
1.5142264012699964,0.9750452254487881
1.5158924205378974,0.9748934630267707
1.517562109900869,0.9747416676468134
1.5192354814996325,0.9745897590931153
